"Species","Trap","Year","Distance","Cover"
"Prasophyllum alpinum",3,2018,"10m",0
"Prasophyllum alpinum",3,2018,"15m",0
"Ranunculus victoriensis",3,2018,"1m",1
"Ranunculus victoriensis",3,2018,"5m",1
"Ranunculus victoriensis",3,2018,"10m",1
"Ranunculus victoriensis",3,2018,"15m",1
"Rytidosperma nudiflorum",3,2018,"1m",1
"Rytidosperma nudiflorum",3,2018,"5m",1
"Rytidosperma nudiflorum",3,2018,"10m",1
"Rytidosperma nudiflorum",3,2018,"15m",1
"Scleranthus biflorus",3,2018,"1m",1
"Scleranthus biflorus",3,2018,"5m",1
"Scleranthus biflorus",3,2018,"10m",1
"Scleranthus biflorus",3,2018,"15m",1
"Scleranthus singuliflorus",3,2018,"1m",0
"Scleranthus singuliflorus",3,2018,"5m",0
"Scleranthus singuliflorus",3,2018,"10m",0
"Scleranthus singuliflorus",3,2018,"15m",0
"Senecio gunnii",3,2018,"1m",0
"Senecio gunnii",3,2018,"5m",0
"Senecio gunnii",3,2018,"10m",0
"Senecio gunnii",3,2018,"15m",0
"Senecio pinnatifolius",3,2018,"1m",1
"Senecio pinnatifolius",3,2018,"5m",1
"Senecio pinnatifolius",3,2018,"10m",1
"Senecio pinnatifolius",3,2018,"15m",1
"Tasmannia lanceolata",3,2018,"1m",0
"Tasmannia lanceolata",3,2018,"5m",0
"Tasmannia lanceolata",3,2018,"10m",0
"Tasmannia lanceolata",3,2018,"15m",0
"Trachymene humilis",3,2018,"1m",0
"Trachymene humilis",3,2018,"5m",1
"Trachymene humilis",3,2018,"10m",1
"Trachymene humilis",3,2018,"15m",1
"Trifolium",3,2018,"1m",0
"Trifolium",3,2018,"5m",0
"Trifolium",3,2018,"10m",0
"Trifolium",3,2018,"15m",0
"Trisetum spicatum",3,2018,"1m",0
"Trisetum spicatum",3,2018,"5m",1
"Trisetum spicatum",3,2018,"10m",1
"Trisetum spicatum",3,2018,"15m",1
"Viola betonicifolia",3,2018,"1m",0
"Viola betonicifolia",3,2018,"5m",1
"Viola betonicifolia",3,2018,"10m",0
"Viola betonicifolia",3,2018,"15m",1
"Wahlenbergia",3,2018,"1m",0
"Wahlenbergia",3,2018,"5m",0
"Wahlenbergia",3,2018,"10m",0
"Wahlenbergia",3,2018,"15m",0
"Xerochrysum subundulatum",3,2018,"1m",0
"Xerochrysum subundulatum",3,2018,"5m",0
"Xerochrysum subundulatum",3,2018,"10m",0
"Xerochrysum subundulatum",3,2018,"15m",0
"Acaena novae-zelandiae",4,2018,"1m",0
"Acaena novae-zelandiae",4,2018,"5m",0
"Acaena novae-zelandiae",4,2018,"10m",0
"Acaena novae-zelandiae",4,2018,"15m",0
"Acetosella vulgaris",4,2018,"1m",1
"Acetosella vulgaris",4,2018,"5m",1
"Acetosella vulgaris",4,2018,"10m",1
"Acetosella vulgaris",4,2018,"15m",1
"Agrostis capillaris",4,2018,"1m",0
"Agrostis capillaris",4,2018,"5m",0
"Agrostis capillaris",4,2018,"10m",0
"Agrostis capillaris",4,2018,"15m",0
"Agrostis venusta",4,2018,"1m",0
"Agrostis venusta",4,2018,"5m",0
"Agrostis venusta",4,2018,"10m",0
"Agrostis venusta",4,2018,"15m",0
"Argyrotegium fordianum",4,2018,"1m",0
"Argyrotegium fordianum",4,2018,"5m",0
"Argyrotegium fordianum",4,2018,"10m",0
"Argyrotegium fordianum",4,2018,"15m",0
"Asperula gunnii",4,2018,"1m",0
"Asperula gunnii",4,2018,"5m",0
"Asperula gunnii",4,2018,"10m",0
"Asperula gunnii",4,2018,"15m",0
"Asterolasia trymalioides",4,2018,"1m",0
"Asterolasia trymalioides",4,2018,"5m",0
"Asterolasia trymalioides",4,2018,"10m",0
"Asterolasia trymalioides",4,2018,"15m",0
"Bossiaea foliosa",4,2018,"1m",0
"Bossiaea foliosa",4,2018,"5m",0
"Bossiaea foliosa",4,2018,"10m",0
"Bossiaea foliosa",4,2018,"15m",0
"Brachyscome decipiens",4,2018,"1m",0
"Brachyscome decipiens",4,2018,"5m",0
"Brachyscome decipiens",4,2018,"10m",0
"Brachyscome decipiens",4,2018,"15m",0
"Brachyscome spathulata",4,2018,"1m",0
"Brachyscome spathulata",4,2018,"5m",0
"Brachyscome spathulata",4,2018,"10m",0
"Brachyscome spathulata",4,2018,"15m",0
"Bulbine glauca",4,2018,"1m",0
"Bulbine glauca",4,2018,"5m",0
"Bulbine glauca",4,2018,"10m",0
"Bulbine glauca",4,2018,"15m",0
"Carex breviculmis",4,2018,"1m",0
"Carex breviculmis",4,2018,"5m",0
"Carex breviculmis",4,2018,"10m",0
"Carex breviculmis",4,2018,"15m",0
"Carex hebes",4,2018,"1m",1
"Carex hebes",4,2018,"5m",1
"Carex hebes",4,2018,"10m",1
"Carex hebes",4,2018,"15m",1
"Celmisia costiniana",4,2018,"1m",0
"Celmisia costiniana",4,2018,"5m",0
"Celmisia costiniana",4,2018,"10m",0
"Celmisia costiniana",4,2018,"15m",0
"Colobanthus affinis",4,2018,"1m",0
"Colobanthus affinis",4,2018,"5m",0
"Colobanthus affinis",4,2018,"10m",0
"Colobanthus affinis",4,2018,"15m",0
"Craspedia aurantia",4,2018,"1m",1
"Craspedia aurantia",4,2018,"5m",1
"Craspedia aurantia",4,2018,"10m",1
"Craspedia aurantia",4,2018,"15m",1
"Craspedia gracilis",4,2018,"1m",0
"Craspedia gracilis",4,2018,"5m",1
"Craspedia gracilis",4,2018,"10m",0
"Craspedia gracilis",4,2018,"15m",0
"Pappochroma bellidioides",4,2018,"1m",0
"Pappochroma bellidioides",4,2018,"5m",0
"Pappochroma bellidioides",4,2018,"10m",0
"Pappochroma bellidioides",4,2018,"15m",0
"Erigeron nitidus (nitidius)",4,2018,"1m",0
"Erigeron nitidus (nitidius)",4,2018,"5m",0
"Erigeron nitidus (nitidius)",4,2018,"10m",0
"Erigeron nitidus (nitidius)",4,2018,"15m",0
"Eucalyptus pauciflora",4,2018,"1m",0
"Eucalyptus pauciflora",4,2018,"5m",0
"Eucalyptus pauciflora",4,2018,"10m",0
"Eucalyptus pauciflora",4,2018,"15m",0
"Geranium",4,2018,"1m",0
"Geranium",4,2018,"5m",0
"Geranium",4,2018,"10m",0
"Geranium",4,2018,"15m",0
"Gonocarpus montanus",4,2018,"1m",0
"Gonocarpus montanus",4,2018,"5m",0
"Gonocarpus montanus",4,2018,"10m",0
"Gonocarpus montanus",4,2018,"15m",0
"Grevillea australis",4,2018,"1m",0
"Grevillea australis",4,2018,"5m",0
"Grevillea australis",4,2018,"10m",0
"Grevillea australis",4,2018,"15m",0
"Helichrysum rutidolepis",4,2018,"1m",0
"Helichrysum rutidolepis",4,2018,"5m",0
"Helichrysum rutidolepis",4,2018,"10m",0
"Helichrysum rutidolepis",4,2018,"15m",0
"Hovea montana",4,2018,"1m",1
"Hovea montana",4,2018,"5m",1
"Hovea montana",4,2018,"10m",1
"Hovea montana",4,2018,"15m",1
"Hypochaeris radicata",4,2018,"1m",0
"Hypochaeris radicata",4,2018,"5m",1
"Hypochaeris radicata",4,2018,"10m",1
"Hypochaeris radicata",4,2018,"15m",1
"Leptorhynchos squamatus",4,2018,"1m",0
"Leptorhynchos squamatus",4,2018,"5m",0
"Leptorhynchos squamatus",4,2018,"10m",0
"Leptorhynchos squamatus",4,2018,"15m",0
"Leucopogon montanus",4,2018,"1m",0
"Leucopogon montanus",4,2018,"5m",0
"Leucopogon montanus",4,2018,"10m",0
"Leucopogon montanus",4,2018,"15m",0
"Luzula novae-cambriae",4,2018,"1m",0
"Luzula novae-cambriae",4,2018,"5m",1
"Luzula novae-cambriae",4,2018,"10m",1
"Luzula novae-cambriae",4,2018,"15m",1
"Melicytus angustifolius",4,2018,"1m",0
"Melicytus angustifolius",4,2018,"5m",0
"Melicytus angustifolius",4,2018,"10m",0
"Melicytus angustifolius",4,2018,"15m",0
"Microseris lanceolata",4,2018,"1m",0
"Microseris lanceolata",4,2018,"5m",0
"Microseris lanceolata",4,2018,"10m",1
"Microseris lanceolata",4,2018,"15m",1
"Olearia brevipedunculata",4,2018,"1m",0
"Olearia brevipedunculata",4,2018,"5m",0
"Olearia brevipedunculata",4,2018,"10m",0
"Olearia brevipedunculata",4,2018,"15m",0
"Olearia frostii",4,2018,"1m",0
"Olearia frostii",4,2018,"5m",1
"Olearia frostii",4,2018,"10m",1
"Olearia frostii",4,2018,"15m",1
"Oreomyrrhis eriopoda",4,2018,"1m",0
"Oreomyrrhis eriopoda",4,2018,"5m",0
"Oreomyrrhis eriopoda",4,2018,"10m",0
"Oreomyrrhis eriopoda",4,2018,"15m",1
"Orites Lancifolius",4,2018,"1m",0
"Orites Lancifolius",4,2018,"5m",0
"Orites Lancifolius",4,2018,"10m",1
"Orites Lancifolius",4,2018,"15m",1
"Phebalium squamulosum",4,2018,"1m",0
"Phebalium squamulosum",4,2018,"5m",0
"Phebalium squamulosum",4,2018,"10m",0
"Phebalium squamulosum",4,2018,"15m",0
"Pimelea alpina",4,2018,"1m",0
"Pimelea alpina",4,2018,"5m",0
"Pimelea alpina",4,2018,"10m",0
"Pimelea alpina",4,2018,"15m",0
"Pimelea axiflora",4,2018,"1m",0
"Pimelea axiflora",4,2018,"5m",0
"Pimelea axiflora",4,2018,"10m",0
"Pimelea axiflora",4,2018,"15m",0
"Plantago euryphylla",4,2018,"1m",0
"Plantago euryphylla",4,2018,"5m",0
"Plantago euryphylla",4,2018,"10m",1
"Plantago euryphylla",4,2018,"15m",1
"Poa hiemata",4,2018,"1m",1
"Poa hiemata",4,2018,"5m",1
"Poa hiemata",4,2018,"10m",1
"Poa hiemata",4,2018,"15m",1
"Poa hothamensis",4,2018,"1m",0
"Poa hothamensis",4,2018,"5m",0
"Poa hothamensis",4,2018,"10m",1
"Poa hothamensis",4,2018,"15m",1
"Podolepis robusta (grey form)",4,2018,"1m",0
"Podolepis robusta (grey form)",4,2018,"5m",0
"Podolepis robusta (grey form)",4,2018,"10m",0
"Podolepis robusta (grey form)",4,2018,"15m",0
"Prasophyllum alpinum",4,2018,"1m",0
"Prasophyllum alpinum",4,2018,"5m",0
"Prasophyllum alpinum",4,2018,"10m",0
"Prasophyllum alpinum",4,2018,"15m",0
"Ranunculus victoriensis",4,2018,"1m",1
"Ranunculus victoriensis",4,2018,"5m",1
"Ranunculus victoriensis",4,2018,"10m",1
"Ranunculus victoriensis",4,2018,"15m",1
"Rytidosperma nudiflorum",4,2018,"1m",0
"Rytidosperma nudiflorum",4,2018,"5m",1
"Rytidosperma nudiflorum",4,2018,"10m",1
"Rytidosperma nudiflorum",4,2018,"15m",1
"Scleranthus biflorus",4,2018,"1m",0
"Scleranthus biflorus",4,2018,"5m",1
"Scleranthus biflorus",4,2018,"10m",1
"Scleranthus biflorus",4,2018,"15m",1
"Scleranthus singuliflorus",4,2018,"1m",0
"Scleranthus singuliflorus",4,2018,"5m",0
"Scleranthus singuliflorus",4,2018,"10m",0
"Scleranthus singuliflorus",4,2018,"15m",0
"Senecio gunnii",4,2018,"1m",0
"Senecio gunnii",4,2018,"5m",0
"Senecio gunnii",4,2018,"10m",0
"Senecio gunnii",4,2018,"15m",0
"Senecio pinnatifolius",4,2018,"1m",0
"Senecio pinnatifolius",4,2018,"5m",0
"Senecio pinnatifolius",4,2018,"10m",0
"Senecio pinnatifolius",4,2018,"15m",0
"Tasmannia lanceolata",4,2018,"1m",0
"Tasmannia lanceolata",4,2018,"5m",0
"Tasmannia lanceolata",4,2018,"10m",0
"Tasmannia lanceolata",4,2018,"15m",0
"Trachymene humilis",4,2018,"1m",0
"Trachymene humilis",4,2018,"5m",0
"Trachymene humilis",4,2018,"10m",0
"Trachymene humilis",4,2018,"15m",0
"Trifolium",4,2018,"1m",0
"Trifolium",4,2018,"5m",0
"Trifolium",4,2018,"10m",0
"Trifolium",4,2018,"15m",0
"Trisetum spicatum",4,2018,"1m",0
"Trisetum spicatum",4,2018,"5m",0
"Trisetum spicatum",4,2018,"10m",0
"Trisetum spicatum",4,2018,"15m",1
"Viola betonicifolia",4,2018,"1m",0
"Viola betonicifolia",4,2018,"5m",0
"Viola betonicifolia",4,2018,"10m",1
"Viola betonicifolia",4,2018,"15m",1
"Wahlenbergia",4,2018,"1m",0
"Wahlenbergia",4,2018,"5m",0
"Wahlenbergia",4,2018,"10m",0
"Wahlenbergia",4,2018,"15m",0
"Xerochrysum subundulatum",4,2018,"1m",0
"Xerochrysum subundulatum",4,2018,"5m",0
"Xerochrysum subundulatum",4,2018,"10m",0
"Xerochrysum subundulatum",4,2018,"15m",0
"Acaena novae-zelandiae",5,2018,"1m",0
"Acaena novae-zelandiae",5,2018,"5m",0
"Acaena novae-zelandiae",5,2018,"10m",0
"Acaena novae-zelandiae",5,2018,"15m",1
"Acetosella vulgaris",5,2018,"1m",0
"Acetosella vulgaris",5,2018,"5m",1
"Acetosella vulgaris",5,2018,"10m",1
"Acetosella vulgaris",5,2018,"15m",1
"Agrostis capillaris",5,2018,"1m",0
"Agrostis capillaris",5,2018,"5m",0
"Agrostis capillaris",5,2018,"10m",0
"Agrostis capillaris",5,2018,"15m",1
"Agrostis venusta",5,2018,"1m",0
"Agrostis venusta",5,2018,"5m",0
"Agrostis venusta",5,2018,"10m",1
"Agrostis venusta",5,2018,"15m",1
"Argyrotegium fordianum",5,2018,"1m",0
"Argyrotegium fordianum",5,2018,"5m",0
"Argyrotegium fordianum",5,2018,"10m",1
"Argyrotegium fordianum",5,2018,"15m",1
"Asperula gunnii",5,2018,"1m",0
"Asperula gunnii",5,2018,"5m",0
"Asperula gunnii",5,2018,"10m",0
"Asperula gunnii",5,2018,"15m",0
"Asterolasia trymalioides",5,2018,"1m",0
"Asterolasia trymalioides",5,2018,"5m",0
"Asterolasia trymalioides",5,2018,"10m",0
"Asterolasia trymalioides",5,2018,"15m",0
"Bossiaea foliosa",5,2018,"1m",0
"Bossiaea foliosa",5,2018,"5m",0
"Bossiaea foliosa",5,2018,"10m",0
"Bossiaea foliosa",5,2018,"15m",0
"Brachyscome decipiens",5,2018,"1m",0
"Brachyscome decipiens",5,2018,"5m",0
"Brachyscome decipiens",5,2018,"10m",1
"Brachyscome decipiens",5,2018,"15m",1
"Brachyscome spathulata",5,2018,"1m",0
"Brachyscome spathulata",5,2018,"5m",0
"Brachyscome spathulata",5,2018,"10m",0
"Brachyscome spathulata",5,2018,"15m",0
"Bulbine glauca",5,2018,"1m",0
"Bulbine glauca",5,2018,"5m",0
"Bulbine glauca",5,2018,"10m",0
"Bulbine glauca",5,2018,"15m",0
"Carex breviculmis",5,2018,"1m",0
"Carex breviculmis",5,2018,"5m",0
"Carex breviculmis",5,2018,"10m",0
"Carex breviculmis",5,2018,"15m",0
"Carex hebes",5,2018,"1m",1
"Carex hebes",5,2018,"5m",1
"Carex hebes",5,2018,"10m",1
"Carex hebes",5,2018,"15m",1
"Celmisia costiniana",5,2018,"1m",0
"Celmisia costiniana",5,2018,"5m",0
"Celmisia costiniana",5,2018,"10m",0
"Celmisia costiniana",5,2018,"15m",0
"Colobanthus affinis",5,2018,"1m",0
"Colobanthus affinis",5,2018,"5m",0
"Colobanthus affinis",5,2018,"10m",1
"Colobanthus affinis",5,2018,"15m",1
"Craspedia aurantia",5,2018,"1m",1
"Craspedia aurantia",5,2018,"5m",1
"Craspedia aurantia",5,2018,"10m",1
"Craspedia aurantia",5,2018,"15m",1
"Craspedia gracilis",5,2018,"1m",0
"Craspedia gracilis",5,2018,"5m",0
"Craspedia gracilis",5,2018,"10m",0
"Craspedia gracilis",5,2018,"15m",0
"Pappochroma bellidioides",5,2018,"1m",0
"Pappochroma bellidioides",5,2018,"5m",0
"Pappochroma bellidioides",5,2018,"10m",0
"Pappochroma bellidioides",5,2018,"15m",0
"Erigeron nitidus (nitidius)",5,2018,"1m",0
"Erigeron nitidus (nitidius)",5,2018,"5m",0
"Erigeron nitidus (nitidius)",5,2018,"10m",0
"Erigeron nitidus (nitidius)",5,2018,"15m",0
"Eucalyptus pauciflora",5,2018,"1m",0
"Eucalyptus pauciflora",5,2018,"5m",0
"Eucalyptus pauciflora",5,2018,"10m",0
"Eucalyptus pauciflora",5,2018,"15m",0
"Geranium",5,2018,"1m",0
"Geranium",5,2018,"5m",0
"Geranium",5,2018,"10m",0
"Geranium",5,2018,"15m",0
"Gonocarpus montanus",5,2018,"1m",0
"Gonocarpus montanus",5,2018,"5m",0
"Gonocarpus montanus",5,2018,"10m",0
"Gonocarpus montanus",5,2018,"15m",1
"Grevillea australis",5,2018,"1m",0
"Grevillea australis",5,2018,"5m",0
"Grevillea australis",5,2018,"10m",0
"Grevillea australis",5,2018,"15m",1
"Helichrysum rutidolepis",5,2018,"1m",0
"Helichrysum rutidolepis",5,2018,"5m",0
"Helichrysum rutidolepis",5,2018,"10m",0
"Helichrysum rutidolepis",5,2018,"15m",0
"Hovea montana",5,2018,"1m",0
"Hovea montana",5,2018,"5m",0
"Hovea montana",5,2018,"10m",1
"Hovea montana",5,2018,"15m",1
"Hypochaeris radicata",5,2018,"1m",0
"Hypochaeris radicata",5,2018,"5m",1
"Hypochaeris radicata",5,2018,"10m",1
"Hypochaeris radicata",5,2018,"15m",1
"Leptorhynchos squamatus",5,2018,"1m",0
"Leptorhynchos squamatus",5,2018,"5m",0
"Leptorhynchos squamatus",5,2018,"10m",0
"Leptorhynchos squamatus",5,2018,"15m",0
"Leucopogon montanus",5,2018,"1m",0
"Leucopogon montanus",5,2018,"5m",0
"Leucopogon montanus",5,2018,"10m",0
"Leucopogon montanus",5,2018,"15m",0
"Luzula novae-cambriae",5,2018,"1m",0
"Luzula novae-cambriae",5,2018,"5m",1
"Luzula novae-cambriae",5,2018,"10m",1
"Luzula novae-cambriae",5,2018,"15m",1
"Melicytus angustifolius",5,2018,"1m",0
"Melicytus angustifolius",5,2018,"5m",0
"Melicytus angustifolius",5,2018,"10m",0
"Melicytus angustifolius",5,2018,"15m",0
"Microseris lanceolata",5,2018,"1m",0
"Microseris lanceolata",5,2018,"5m",0
"Microseris lanceolata",5,2018,"10m",0
"Microseris lanceolata",5,2018,"15m",0
"Olearia brevipedunculata",5,2018,"1m",0
"Olearia brevipedunculata",5,2018,"5m",0
"Olearia brevipedunculata",5,2018,"10m",0
"Olearia brevipedunculata",5,2018,"15m",0
"Olearia frostii",5,2018,"1m",0
"Olearia frostii",5,2018,"5m",1
"Olearia frostii",5,2018,"10m",1
"Olearia frostii",5,2018,"15m",1
"Oreomyrrhis eriopoda",5,2018,"1m",0
"Oreomyrrhis eriopoda",5,2018,"5m",1
"Oreomyrrhis eriopoda",5,2018,"10m",1
"Oreomyrrhis eriopoda",5,2018,"15m",1
"Orites Lancifolius",5,2018,"1m",0
"Orites Lancifolius",5,2018,"5m",0
"Orites Lancifolius",5,2018,"10m",0
"Orites Lancifolius",5,2018,"15m",0
"Phebalium squamulosum",5,2018,"1m",0
"Phebalium squamulosum",5,2018,"5m",0
"Phebalium squamulosum",5,2018,"10m",0
"Phebalium squamulosum",5,2018,"15m",0
"Pimelea alpina",5,2018,"1m",0
"Pimelea alpina",5,2018,"5m",0
"Pimelea alpina",5,2018,"10m",0
"Pimelea alpina",5,2018,"15m",0
"Pimelea axiflora",5,2018,"1m",0
"Pimelea axiflora",5,2018,"5m",0
"Pimelea axiflora",5,2018,"10m",0
"Pimelea axiflora",5,2018,"15m",0
"Plantago euryphylla",5,2018,"1m",0
"Plantago euryphylla",5,2018,"5m",0
"Plantago euryphylla",5,2018,"10m",1
"Plantago euryphylla",5,2018,"15m",1
"Poa hiemata",5,2018,"1m",1
"Poa hiemata",5,2018,"5m",1
"Poa hiemata",5,2018,"10m",1
"Poa hiemata",5,2018,"15m",1
"Poa hothamensis",5,2018,"1m",0
"Poa hothamensis",5,2018,"5m",1
"Poa hothamensis",5,2018,"10m",1
"Poa hothamensis",5,2018,"15m",1
"Podolepis robusta (grey form)",5,2018,"1m",0
"Podolepis robusta (grey form)",5,2018,"5m",0
"Podolepis robusta (grey form)",5,2018,"10m",0
"Podolepis robusta (grey form)",5,2018,"15m",0
"Prasophyllum alpinum",5,2018,"1m",0
"Prasophyllum alpinum",5,2018,"5m",0
"Prasophyllum alpinum",5,2018,"10m",0
"Prasophyllum alpinum",5,2018,"15m",0
"Ranunculus victoriensis",5,2018,"1m",1
"Ranunculus victoriensis",5,2018,"5m",1
"Ranunculus victoriensis",5,2018,"10m",1
"Ranunculus victoriensis",5,2018,"15m",1
"Rytidosperma nudiflorum",5,2018,"1m",1
"Rytidosperma nudiflorum",5,2018,"5m",1
"Rytidosperma nudiflorum",5,2018,"10m",1
"Rytidosperma nudiflorum",5,2018,"15m",1
"Scleranthus biflorus",5,2018,"1m",1
"Scleranthus biflorus",5,2018,"5m",1
"Scleranthus biflorus",5,2018,"10m",1
"Scleranthus biflorus",5,2018,"15m",1
"Scleranthus singuliflorus",5,2018,"1m",0
"Scleranthus singuliflorus",5,2018,"5m",1
"Scleranthus singuliflorus",5,2018,"10m",1
"Scleranthus singuliflorus",5,2018,"15m",0
"Senecio gunnii",5,2018,"1m",0
"Senecio gunnii",5,2018,"5m",0
"Senecio gunnii",5,2018,"10m",0
"Senecio gunnii",5,2018,"15m",1
"Senecio pinnatifolius",5,2018,"1m",0
"Senecio pinnatifolius",5,2018,"5m",0
"Senecio pinnatifolius",5,2018,"10m",0
"Senecio pinnatifolius",5,2018,"15m",0
"Tasmannia lanceolata",5,2018,"1m",0
"Tasmannia lanceolata",5,2018,"5m",0
"Tasmannia lanceolata",5,2018,"10m",0
"Tasmannia lanceolata",5,2018,"15m",0
"Trachymene humilis",5,2018,"1m",0
"Trachymene humilis",5,2018,"5m",0
"Trachymene humilis",5,2018,"10m",0
"Trachymene humilis",5,2018,"15m",1
"Trifolium",5,2018,"1m",0
"Trifolium",5,2018,"5m",0
"Trifolium",5,2018,"10m",0
"Trifolium",5,2018,"15m",0
"Trisetum spicatum",5,2018,"1m",0
"Trisetum spicatum",5,2018,"5m",1
"Trisetum spicatum",5,2018,"10m",0
"Trisetum spicatum",5,2018,"15m",0
"Viola betonicifolia",5,2018,"1m",0
"Viola betonicifolia",5,2018,"5m",1
"Viola betonicifolia",5,2018,"10m",1
"Viola betonicifolia",5,2018,"15m",0
"Wahlenbergia",5,2018,"1m",0
"Wahlenbergia",5,2018,"5m",0
"Wahlenbergia",5,2018,"10m",0
"Wahlenbergia",5,2018,"15m",0
"Xerochrysum subundulatum",5,2018,"1m",0
"Xerochrysum subundulatum",5,2018,"5m",0
"Xerochrysum subundulatum",5,2018,"10m",0
"Xerochrysum subundulatum",5,2018,"15m",0
"Acaena novae-zelandiae",6,2018,"1m",0
"Acaena novae-zelandiae",6,2018,"5m",0
"Acaena novae-zelandiae",6,2018,"10m",0
"Acaena novae-zelandiae",6,2018,"15m",0
"Acetosella vulgaris",6,2018,"1m",0
"Acetosella vulgaris",6,2018,"5m",0
"Acetosella vulgaris",6,2018,"10m",0
"Acetosella vulgaris",6,2018,"15m",1
"Agrostis capillaris",6,2018,"1m",0
"Agrostis capillaris",6,2018,"5m",0
"Agrostis capillaris",6,2018,"10m",0
"Agrostis capillaris",6,2018,"15m",0
"Agrostis venusta",6,2018,"1m",0
"Agrostis venusta",6,2018,"5m",0
"Agrostis venusta",6,2018,"10m",0
"Agrostis venusta",6,2018,"15m",0
"Argyrotegium fordianum",6,2018,"1m",0
"Argyrotegium fordianum",6,2018,"5m",0
"Argyrotegium fordianum",6,2018,"10m",1
"Argyrotegium fordianum",6,2018,"15m",1
"Asperula gunnii",6,2018,"1m",0
"Asperula gunnii",6,2018,"5m",0
"Asperula gunnii",6,2018,"10m",0
"Asperula gunnii",6,2018,"15m",0
"Asterolasia trymalioides",6,2018,"1m",0
"Asterolasia trymalioides",6,2018,"5m",0
"Asterolasia trymalioides",6,2018,"10m",0
"Asterolasia trymalioides",6,2018,"15m",0
"Bossiaea foliosa",6,2018,"1m",0
"Bossiaea foliosa",6,2018,"5m",0
"Bossiaea foliosa",6,2018,"10m",0
"Bossiaea foliosa",6,2018,"15m",0
"Brachyscome decipiens",6,2018,"1m",0
"Brachyscome decipiens",6,2018,"5m",0
"Brachyscome decipiens",6,2018,"10m",1
"Brachyscome decipiens",6,2018,"15m",1
"Brachyscome spathulata",6,2018,"1m",0
"Brachyscome spathulata",6,2018,"5m",0
"Brachyscome spathulata",6,2018,"10m",0
"Brachyscome spathulata",6,2018,"15m",0
"Bulbine glauca",6,2018,"1m",0
"Bulbine glauca",6,2018,"5m",0
"Bulbine glauca",6,2018,"10m",0
"Bulbine glauca",6,2018,"15m",0
"Carex breviculmis",6,2018,"1m",0
"Carex breviculmis",6,2018,"5m",0
"Carex breviculmis",6,2018,"10m",0
"Carex breviculmis",6,2018,"15m",0
"Carex hebes",6,2018,"1m",0
"Carex hebes",6,2018,"5m",1
"Carex hebes",6,2018,"10m",1
"Carex hebes",6,2018,"15m",1
"Celmisia costiniana",6,2018,"1m",0
"Celmisia costiniana",6,2018,"5m",0
"Celmisia costiniana",6,2018,"10m",0
"Celmisia costiniana",6,2018,"15m",0
"Colobanthus affinis",6,2018,"1m",0
"Colobanthus affinis",6,2018,"5m",0
"Colobanthus affinis",6,2018,"10m",0
"Colobanthus affinis",6,2018,"15m",0
"Craspedia aurantia",6,2018,"1m",0
"Craspedia aurantia",6,2018,"5m",1
"Craspedia aurantia",6,2018,"10m",1
"Craspedia aurantia",6,2018,"15m",0
"Craspedia gracilis",6,2018,"1m",0
"Craspedia gracilis",6,2018,"5m",0
"Craspedia gracilis",6,2018,"10m",0
"Craspedia gracilis",6,2018,"15m",0
"Pappochroma bellidioides",6,2018,"1m",0
"Pappochroma bellidioides",6,2018,"5m",0
"Pappochroma bellidioides",6,2018,"10m",0
"Pappochroma bellidioides",6,2018,"15m",0
"Erigeron nitidus (nitidius)",6,2018,"1m",0
"Erigeron nitidus (nitidius)",6,2018,"5m",0
"Erigeron nitidus (nitidius)",6,2018,"10m",0
"Erigeron nitidus (nitidius)",6,2018,"15m",0
"Eucalyptus pauciflora",6,2018,"1m",0
"Eucalyptus pauciflora",6,2018,"5m",0
"Eucalyptus pauciflora",6,2018,"10m",0
"Eucalyptus pauciflora",6,2018,"15m",1
"Geranium",6,2018,"1m",0
"Geranium",6,2018,"5m",0
"Geranium",6,2018,"10m",0
"Geranium",6,2018,"15m",0
"Gonocarpus montanus",6,2018,"1m",0
"Gonocarpus montanus",6,2018,"5m",0
"Gonocarpus montanus",6,2018,"10m",0
"Gonocarpus montanus",6,2018,"15m",0
"Grevillea australis",6,2018,"1m",0
"Grevillea australis",6,2018,"5m",1
"Grevillea australis",6,2018,"10m",0
"Grevillea australis",6,2018,"15m",0
"Helichrysum rutidolepis",6,2018,"1m",0
"Helichrysum rutidolepis",6,2018,"5m",0
"Helichrysum rutidolepis",6,2018,"10m",0
"Helichrysum rutidolepis",6,2018,"15m",0
"Hovea montana",6,2018,"1m",1
"Hovea montana",6,2018,"5m",1
"Hovea montana",6,2018,"10m",1
"Hovea montana",6,2018,"15m",1
"Hypochaeris radicata",6,2018,"1m",0
"Hypochaeris radicata",6,2018,"5m",0
"Hypochaeris radicata",6,2018,"10m",1
"Hypochaeris radicata",6,2018,"15m",1
"Leptorhynchos squamatus",6,2018,"1m",0
"Leptorhynchos squamatus",6,2018,"5m",0
"Leptorhynchos squamatus",6,2018,"10m",0
"Leptorhynchos squamatus",6,2018,"15m",0
"Leucopogon montanus",6,2018,"1m",0
"Leucopogon montanus",6,2018,"5m",0
"Leucopogon montanus",6,2018,"10m",0
"Leucopogon montanus",6,2018,"15m",0
"Luzula novae-cambriae",6,2018,"1m",0
"Luzula novae-cambriae",6,2018,"5m",1
"Luzula novae-cambriae",6,2018,"10m",1
"Luzula novae-cambriae",6,2018,"15m",1
